fdc_id,food_ description,protein (g),total_lipid_fat (g),carbohydrate_by difference (g),energy (KCAL),alcohol_ethyl (g),water (g),caffeine (mg),total_sugars (g),calcium_ca (mg),magnesium_mg (mg),phosphorus_p (mg),potassium_k (mg),sodium_na (mg),zinc_zn (mg),copper_cu (mg),"vitamin_a, rae (ug)",vitamin_d (d2 + d3) (ug),"vitamin_c, total ascorbic acid (mg)",thiamin (mg),riboflavin (mg),vitamin_b-6 (mg),vitamin_b-12 (ug),vitamin_k (phylloquinone) (ug),folic_acid (ug),"vitamin_e, added (mg)","vitamin_b-12, added (ug)",cholesterol (mg),Temperament
2707532,"Walnuts, honey roasted",9.8,56.92,29.04,668,0,2.12,0,23.5,3.5,60,96,246,286,383,1.86,0.813,1,0,0.9,0.155,0.105,0,11.1,0,0,0,0,1
2707537,Peanut butter,22.21,51.36,22.31,598,0,1.23,0,10.49,5,49,168,335,558,426,2.51,0.422,0,0,0,0.15,0.192,0,0.3,0,0,0,0,1
2707582,"Sunflower seeds, plain, unsalted",19.33,49.8,24.07,582,0,1.2,0,2.73,11.1,70,129,1155,850,3,5.29,1.83,0,0,1.4,0.106,0.246,0,2.7,0,0,0,0,1
2707583,"Sunflower seeds, plain, salted",19.1,49.21,23.78,575,0,1.19,0,2.7,11,70,127,1141,840,462,5.23,1.808,0,0,1.4,0.105,0.243,0,2.7,0,0,0,0,1
2707584,"Sunflower seeds, flavored",18.45,47.56,25.92,567,0,1.15,0,5.55,10.6,68,123,1103,812,612,5.05,1.747,0,0,1.3,0.101,0.235,0,2.6,0,0,0,0,1
2707720,"Bread, wheat or cracked wheat",10.67,4.53,47.54,274,0,35.25,0,5.73,4,125,41,129,141,450,1.04,0.148,0,0,0.2,0.411,0.252,0,4.9,20,0,0,0,2
2707769,"Bread, oatmeal, toasted",9.23,4.84,53.3,296,0,30.44,0,8.94,4.4,73,41,138,156,491,1.12,0.23,5,0,0,0.351,0.264,0.03,1.6,33,0,0,0,0
2708403,"Rice, white, cooked, NS as to fat",2.67,0.28,27.99,129,0,68.01,0,0.05,0.4,10,12,43,35,244,0.49,0.069,0,0,0,0.162,0.013,0,0,55,0,0,0,2
2708414,"Rice, brown, cooked, no added fat",2.43,1.11,25.76,123,0,69.68,0,0.22,1,5,39,97,80,201,0.63,0.094,0,0,0,0.088,0.031,0,0.2,0,0,0,0,2
2708442,"Whole wheat cereal, cooked",1.55,0.28,10.39,47,0,87.27,0,0.06,1.3,9,18,50,51,71,0.38,0.07,0,0,0,0.044,0.037,0,0.3,0,0,0,0,2
2709031,"Rice, white, with lentils, no added fat",5.76,0.33,22.44,115,0,70.32,0,1.35,4.3,18,24,111,217,198,0.86,0.161,1,0,1.3,0.155,0.045,0,2.2,22,0,0,0,2
2709168,"Lemon, raw",1.1,0.3,9.32,29,0,88.98,0,2.5,2.8,26,8,16,138,2,0.06,0.037,1,0,53,0.04,0.02,0,0,0,0,0,0,0
2709171,"Orange, raw",0.92,0.14,11.78,50,0,86.72,0,8.96,2.2,42,10,18,174,4,0.09,0.054,11,0,56.2,0.078,0.046,0,0,0,0,0,0,0
2709203,Date,2.45,0.39,75.03,282,0,20.53,0,63.35,8,39,43,62,656,2,0.29,0.206,0,0,0.4,0.052,0.066,0,2.7,0,0,0,0,1
2709212,Raisins,3.3,0.25,79.32,299,0,15.46,0,65.18,4.5,62,36,98,744,26,0.36,0.272,0,0,2.3,0.106,0.125,0,3.5,0,0,0,0,1
2709215,"Apple, raw",0.17,0.15,14.8,61,0,84.62,0,12.08,2.1,5,5,9,104,0,0.02,0.03,3,0,4.6,0.01,0.07,0,2.2,0,0,0,0,1
2709221,"Apricot, raw",1.4,0.39,11.12,48,0,86.35,0,9.24,2,13,10,23,259,1,0.2,0.078,96,0,10,0.03,0.04,0,3.3,0,0,0,0,0
2709224,"Banana, raw",0.74,0.28,22.71,97,0,75.6,0,15.8,1.7,5,28,22,326,0,0.16,0.101,1,0,12,0.054,0,0,0.1,0,0,0,0,1
2709235,"Fig, raw",0.75,0.3,19.18,74,0,79.11,0,16.26,2.9,35,17,14,232,1,0.15,0.07,7,0,2,0.06,0.05,0,4.7,0,0,0,0,1
2709237,"Grapes, raw",0.9,0.2,19.4,83,0,79.04,0,16.74,0.9,10,8,24,224,5,0.04,0.071,3,0,3.2,0.069,0.07,0,14.6,0,0,0,0,1
2709249,"Peach, raw",0.91,0.27,10.1,46,0,88.3,0,8.39,1.5,4,8,22,122,13,0.23,0.078,24,0,4.1,0.024,0.031,0,3,0,0,0,0,0
2709267,"Pomegranate, raw",1.67,1.17,18.7,83,0,77.93,0,13.67,4,10,12,36,236,3,0.35,0.158,0,0,10.2,0.067,0.053,0,16.4,0,0,0,0,0
